"y","smoker","dead","age"
2,"yes","yes","18-24"
1,"no","yes","18-24"
3,"yes","yes","25-34"
5,"no","yes","25-34"
14,"yes","yes","35-44"
7,"no","yes","35-44"
27,"yes","yes","45-54"
12,"no","yes","45-54"
51,"yes","yes","55-64"
40,"no","yes","55-64"
29,"yes","yes","65-74"
101,"no","yes","65-74"
13,"yes","yes","75+"
64,"no","yes","75+"
53,"yes","no","18-24"
61,"no","no","18-24"
121,"yes","no","25-34"
152,"no","no","25-34"
95,"yes","no","35-44"
114,"no","no","35-44"
103,"yes","no","45-54"
66,"no","no","45-54"
64,"yes","no","55-64"
81,"no","no","55-64"
7,"yes","no","65-74"
28,"no","no","65-74"
0,"yes","no","75+"
0,"no","no","75+"
