"EI","A","B","C","D","E","F","G","H","J","K","A2","B2","N"
260,51,64,36,23,9,5,4,4,3,3,105,114,17
75,14,17,9,9,3,1,2,1,1,1,32,31,5
107,27,18,13,17,2,2,2,1,1,1,57,33,6
1036,191,204,119,205,29,13,13,10,10,6,466,364,30
367,71,76,47,37,8,34,5,4,4,2,163,142,17
396,93,90,57,54,13,5,9,4,3,5,193,155,15
257,57,55,31,30,10,4,5,4,3,3,116,99,13
595,132,149,95,49,21,9,11,6,5,10,249,259,21
735,195,137,98,83,20,16,13,13,8,5,356,261,29
181,34,39,28,28,4,3,4,3,2,1,82,72,8
219,62,47,31,26,5,3,3,3,2,1,107,84,8
653,149,156,94,49,23,15,13,10,7,8,274,275,25
58,10,18,9,4,2,0,1,1,1,1,20,29,2
145,32,33,20,15,4,2,3,2,2,1,63,59,8
414,86,117,65,33,14,6,8,5,4,4,162,190,10
416,87,88,59,62,13,7,10,6,5,3,192,160,12
391,90,91,66,33,12,6,6,5,4,3,165,168,17
413,75,125,58,19,17,6,8,6,6,4,138,204,18
346,72,87,49,40,10,6,8,4,3,3,149,145,12
783,171,181,91,123,24,13,18,10,7,6,370,297,23
240,54,66,34,16,8,7,5,3,4,2,98,108,7
533,111,100,74,81,22,12,10,7,7,6,252,192,14
336,61,105,59,19,10,11,6,5,4,3,115,176,8
216,44,52,31,24,7,4,4,3,3,2,91,91,8
