"school","class","gender","social","raven","id","english","math","year"
"1","1","girl","9",23,"1",72,23,0
"1","1","girl","9",23,"1",80,24,1
"1","1","girl","9",23,"1",39,23,2
"1","1","boy","2",15,"2",7,14,0
"1","1","boy","2",15,"2",17,11,1
"1","1","boy","2",22,"3",88,36,0
"1","1","boy","2",22,"3",89,32,1
"1","1","boy","2",22,"3",83,39,2
"1","1","boy","9",14,"4",12,24,0
"1","1","boy","9",14,"4",25,26,1
"1","1","boy","9",14,"4",12,32,2
"1","1","girl","9",19,"5",67,22,0
"1","1","girl","9",19,"5",78,23,1
"1","1","girl","4",16,"6",52,19,0
"1","1","girl","4",16,"6",76,23,1
"1","1","girl","4",16,"6",19,11,2
"1","1","boy","9",17,"7",37,22,0
"1","1","boy","9",17,"7",68,22,1
"1","1","boy","9",17,"7",31,26,2
"1","1","girl","9",21,"8",57,18,0
"1","1","girl","9",21,"8",86,29,1
"1","1","girl","9",21,"8",40,28,2
"1","1","boy","4",30,"9",42,30,0
"1","1","boy","4",30,"9",59,31,1
"1","1","girl","5",25,"10",46,29,0
"1","1","girl","5",25,"10",79,29,1
"1","1","girl","4",32,"11",69,31,0
"1","1","girl","4",32,"11",84,28,1
"1","1","girl","4",32,"11",50,32,2
"1","1","girl","4",15,"12",54,18,0
"1","1","girl","4",15,"12",74,26,1
"1","1","girl","3",25,"13",63,23,0
"1","1","girl","3",25,"13",39,27,2
"1","1","girl","2",29,"14",83,39,0
"1","1","girl","2",29,"14",88,35,1
"1","1","girl","2",29,"14",80,36,2
"1","1","girl","7",34,"15",37,24,0
"1","1","girl","7",34,"15",44,30,1
"1","1","girl","7",34,"15",37,33,2
"1","1","boy","5",27,"16",15,25,0
"1","1","boy","5",27,"16",20,29,1
"1","1","boy","5",27,"16",4,33,2
"1","1","boy","4",21,"17",43,27,0
"1","1","boy","4",21,"17",55,30,1
"1","1","boy","4",21,"17",29,30,2
"1","2","girl","9",17,"19",52,14,0
"1","2","girl","9",17,"19",84,10,1
"1","2","girl","9",17,"19",46,25,2
"1","2","boy","4",22,"20",11,14,0
"1","2","boy","4",22,"20",23,20,1
"1","2","boy","4",22,"20",9,17,2
"1","2","girl","9",15,"21",27,16,0
"1","2","girl","9",15,"21",50,15,1
"1","2","girl","9",15,"21",15,18,2
"1","2","boy","4",25,"22",79,30,0
"1","2","boy","4",25,"22",87,29,1
"1","2","boy","4",25,"22",42,33,2
"1","2","boy","4",21,"23",65,19,0
"1","2","boy","4",21,"23",71,19,1
"1","2","boy","4",21,"23",36,20,2
"1","2","boy","3",20,"24",23,11,0
"1","2","boy","3",20,"24",22,8,1
"1","2","boy","3",20,"24",10,13,2
"1","2","boy","3",23,"25",37,22,0
"1","2","boy","3",23,"25",67,25,1
"1","2","boy","4",16,"26",33,19,0
"1","2","boy","4",16,"26",50,18,1
"1","2","boy","4",16,"26",17,25,2
"1","2","girl","4",34,"27",64,29,0
"1","2","girl","4",34,"27",76,29,1
"1","2","girl","4",34,"27",31,27,2
"1","2","boy","3",20,"28",10,22,0
"1","2","boy","3",20,"28",17,12,1
"1","2","boy","3",20,"28",11,21,2
"1","2","boy","4",20,"29",27,21,0
"1","2","boy","4",20,"29",25,24,1
"1","2","boy","4",20,"29",11,30,2
"1","2","girl","3",30,"30",42,19,0
"1","2","girl","3",30,"30",70,25,1
"1","2","girl","3",30,"30",20,27,2
"1","2","boy","4",31,"31",34,17,0
"1","2","boy","4",31,"31",46,17,1
"1","2","boy","4",31,"31",8,22,2
"1","2","girl","6",24,"32",83,28,0
"1","2","girl","6",24,"32",86,27,1
"1","2","boy","4",24,"33",8,11,0
"1","2","boy","4",24,"33",11,10,1
"1","2","boy","4",24,"33",10,16,2
"1","2","boy","4",19,"34",9,17,0
"1","2","girl","4",14,"35",27,14,0
"1","2","girl","4",14,"35",61,16,1
"1","2","girl","4",14,"35",24,20,2
"2","1","girl","2",31,"37",27,19,0
"2","1","girl","2",31,"37",38,30,1
"2","1","girl","2",31,"37",15,27,2
"2","1","boy","3",25,"39",70,30,0
"2","1","boy","3",25,"39",86,31,1
"2","1","boy","3",25,"39",58,37,2
"2","1","girl","9",19,"40",35,26,1
"2","1","girl","9",19,"40",13,22,2
"2","1","boy","2",29,"41",78,33,0
"2","1","boy","2",29,"41",89,32,1
"2","1","girl","9",33,"42",42,18,0
"2","1","girl","9",33,"42",73,20,1
"2","1","girl","9",33,"42",34,32,2
"2","1","girl","4",28,"43",81,24,0
"2","1","girl","4",28,"43",81,32,1
"2","1","girl","4",28,"43",41,28,2
"2","1","boy","9",26,"44",19,28,0
"2","1","boy","9",26,"44",30,29,1
"2","1","boy","9",26,"44",17,28,2
"2","1","boy","9",15,"45",54,25,0
"2","1","boy","9",15,"45",81,29,1
"2","1","boy","9",15,"45",41,35,2
"2","1","boy","2",34,"46",88,34,0
"2","1","boy","2",34,"46",90,37,1
"2","1","boy","2",34,"46",88,37,2
"2","1","boy","9",25,"48",63,28,0
"2","1","boy","9",25,"48",81,30,1
"2","1","boy","9",25,"48",7,34,2
"2","1","girl","9",20,"50",37,22,0
"2","1","girl","9",20,"50",79,29,1
"2","1","girl","9",20,"50",41,27,2
"2","1","girl","6",14,"51",8,14,0
"2","1","girl","6",14,"51",40,26,1
"2","1","girl","6",14,"51",11,19,2
"2","2","girl","2",22,"52",3,17,0
"2","2","girl","2",22,"52",34,15,1
"3","1","girl","2",27,"60",74,31,0
"3","1","girl","2",27,"60",84,32,1
"3","1","girl","4",35,"61",72,33,0
"3","1","girl","4",35,"61",77,30,1
"3","1","girl","4",35,"61",54,37,2
"3","1","girl","5",35,"62",81,34,0
"3","1","girl","5",35,"62",85,34,1
"3","1","girl","5",35,"62",78,39,2
