"popul","TVnews","selfLR","ClinLR","DoleLR","PID","age","educ","income","vote"
0,7,"extCon","extLib","Con","strRep",36,"HS","$3Kminus","Dole"
190,1,"sliLib","sliLib","sliCon","weakDem",20,"Coll","$3Kminus","Clinton"
31,7,"Lib","Lib","Con","weakDem",24,"BAdeg","$3Kminus","Clinton"
83,4,"sliLib","Mod","sliCon","weakDem",28,"BAdeg","$3Kminus","Clinton"
640,7,"sliCon","Con","Mod","strDem",68,"BAdeg","$3Kminus","Clinton"
110,3,"sliLib","Mod","Con","weakDem",21,"Coll","$3Kminus","Clinton"
100,7,"sliCon","Con","Mod","weakDem",77,"Coll","$3Kminus","Clinton"
31,1,"sliCon","Mod","sliCon","indRep",21,"Coll","$3Kminus","Clinton"
180,7,"Mod","Con","sliLib","indind",31,"Coll","$3Kminus","Clinton"
2800,0,"sliLib","sliLib","extCon","strDem",39,"HS","$3Kminus","Clinton"
1600,0,"sliLib","Lib","Mod","indRep",26,"HSdrop","$3Kminus","Clinton"
330,5,"Mod","sliLib","Con","weakDem",31,"Coll","$3Kminus","Clinton"
190,2,"sliCon","Mod","Con","weakRep",22,"Coll","$3Kminus","Dole"
100,7,"Mod","Mod","Con","strDem",42,"CCdeg","$3Kminus","Clinton"
1000,7,"sliCon","extCon","Mod","strDem",74,"MS","$3Kminus","Clinton"
0,7,"Con","extCon","sliCon","strDem",62,"HS","$3Kminus","Clinton"
130,7,"Mod","Mod","sliCon","weakDem",58,"HS","$3Kminus","Clinton"
5,5,"sliLib","sliLib","Con","weakDem",24,"BAdeg","$3Kminus","Clinton"
33,7,"Con","Lib","Con","weakRep",51,"Coll","$3Kminus","Dole"
19,2,"Lib","extLib","Mod","strDem",36,"HS","$3K-$5K","Clinton"
74,7,"Mod","Mod","extCon","indDem",88,"HSdrop","$3K-$5K","Clinton"
190,0,"Lib","Mod","Con","indDem",20,"Coll","$3K-$5K","Clinton"
12,3,"Mod","Con","sliLib","indDem",27,"HS","$3K-$5K","Clinton"
0,7,"Con","extLib","Con","strRep",44,"Coll","$3K-$5K","Dole"
19,0,"Mod","Lib","Lib","weakDem",45,"HS","$3K-$5K","Clinton"
0,2,"Mod","sliLib","Con","weakDem",21,"Coll","$3K-$5K","Clinton"
