"age","educ","sex","income","year","person"
31,12,"M",6000,68,1
31,12,"M",5300,69,1
31,12,"M",5200,70,1
31,12,"M",6900,71,1
31,12,"M",7500,72,1
31,12,"M",8000,73,1
31,12,"M",8000,74,1
31,12,"M",9600,75,1
31,12,"M",9000,76,1
31,12,"M",9000,77,1
31,12,"M",23000,78,1
31,12,"M",22000,79,1
31,12,"M",8000,80,1
31,12,"M",10000,81,1
31,12,"M",21800,82,1
31,12,"M",19000,83,1
29,16,"M",7500,68,2
29,16,"M",7300,69,2
29,16,"M",9250,70,2
29,16,"M",10300,71,2
29,16,"M",10900,72,2
29,16,"M",11900,73,2
29,16,"M",13000,74,2
29,16,"M",12900,75,2
29,16,"M",19900,76,2
29,16,"M",18900,77,2
29,16,"M",19100,78,2
29,16,"M",20300,79,2
29,16,"M",31600,80,2
29,16,"M",16600,81,2
29,16,"M",28267,82,2
29,16,"M",29900,83,2
29,16,"M",33900,84,2
29,16,"M",36500,85,2
29,16,"M",38400,86,2
29,16,"M",35250,87,2
29,16,"M",37600,88,2
29,16,"M",42700,89,2
29,16,"M",41000,90,2
36,9,"F",2450,68,3
36,9,"F",2500,69,3
36,9,"F",3600,70,3
36,9,"F",970,71,3
36,9,"F",1200,72,3
36,9,"F",800,75,3
36,9,"F",5000,76,3
36,9,"F",2400,77,3
36,9,"F",3100,78,3
36,9,"F",3300,79,3
36,9,"F",4300,80,3
36,9,"F",4200,81,3
36,9,"F",4500,82,3
36,9,"F",3000,83,3
36,9,"F",3000,84,3
36,9,"F",5000,85,3
36,9,"F",3000,86,3
36,9,"F",3300,87,3
36,9,"F",3000,88,3
36,9,"F",3500,89,3
36,9,"F",2800,90,3
30,7,"F",2800,68,4
30,7,"F",2500,69,4
30,7,"F",2000,70,4
30,7,"F",1500,71,4
30,7,"F",2400,72,4
30,7,"F",1500,73,4
30,7,"F",4500,74,4
30,7,"F",3000,75,4
30,7,"F",250,76,4
30,7,"F",2450,77,4
30,7,"F",500,78,4
30,7,"F",1500,80,4
30,7,"F",2500,81,4
30,7,"F",2000,82,4
30,7,"F",3000,84,4
30,7,"F",2200,85,4
30,7,"F",7000,86,4
30,7,"F",12000,87,4
30,7,"F",10000,88,4
30,7,"F",9729,89,4
30,7,"F",12000,90,4
26,16,"F",5500,68,5
26,16,"F",6000,69,5
26,16,"F",7500,70,5
26,16,"F",10500,71,5
26,16,"F",11300,72,5
26,16,"F",12000,73,5
26,16,"F",13000,74,5
26,16,"F",9167,75,5
26,16,"F",1500,76,5
26,16,"F",150,77,5
26,16,"F",50,78,5
26,16,"F",80,80,5
26,16,"F",3500,82,5
26,16,"F",6000,83,5
26,16,"F",6500,84,5
26,16,"F",8000,85,5
26,16,"F",7900,86,5
26,16,"F",10000,87,5
26,16,"F",500,89,5
26,16,"F",2400,90,5
34,12,"M",5300,68,6
34,12,"M",8700,69,6
34,12,"M",7800,70,6
34,12,"M",7500,71,6
34,12,"M",10200,72,6
34,12,"M",10675,73,6
34,12,"M",15050,74,6
34,12,"M",12500,75,6
34,12,"M",10537,76,6
34,12,"M",13500,77,6
34,12,"M",15000,78,6
34,12,"M",15000,79,6
34,12,"M",15035,80,6
34,12,"M",23000,81,6
34,12,"M",25000,82,6
34,12,"M",27000,83,6
34,12,"M",30010,84,6
34,12,"M",32000,85,6
34,12,"M",31500,86,6
34,12,"M",42000,87,6
34,12,"M",38560,88,6
34,12,"M",39000,89,6
34,12,"M",42000,90,6
25,13,"F",180,68,7
25,13,"F",2800,69,7
25,13,"F",3000,70,7
25,13,"F",3500,71,7
25,13,"F",2385,72,7
25,13,"F",5400,73,7
25,13,"F",7000,74,7
25,13,"F",4625,75,7
25,13,"F",4000,76,7
25,13,"F",8650,77,7
25,13,"F",10000,78,7
25,13,"F",10156,79,7
25,13,"F",11000,80,7
25,13,"F",4000,81,7
25,13,"F",9000,82,7
25,13,"F",14000,83,7
25,13,"F",18000,84,7
25,13,"F",16000,85,7
25,13,"F",18000,86,7
25,13,"F",24000,87,7
25,13,"F",24000,88,7
25,13,"F",25000,89,7
25,13,"F",28000,90,7
34,12,"F",2100,68,8
34,12,"F",1564,69,8
34,12,"F",2465,70,8
34,12,"F",2286,71,8
34,12,"F",2400,72,8
34,12,"F",2700,73,8
34,12,"F",3300,74,8
34,12,"F",2257,75,8
34,12,"F",2000,76,8
34,12,"F",3300,77,8
34,12,"F",40,78,8
34,12,"F",200,79,8
34,12,"F",490,80,8
34,12,"F",6600,81,8
34,12,"F",15400,82,8
34,12,"F",16800,83,8
34,12,"F",2650,84,8
34,12,"F",2500,85,8
34,12,"F",1700,87,8
34,12,"F",2150,89,8
34,12,"F",2750,90,8
25,12,"F",4774,68,9
25,12,"F",5000,69,9
25,12,"F",5000,70,9
25,12,"F",5000,71,9
25,12,"F",7000,72,9
25,12,"F",6000,73,9
25,12,"F",7500,74,9
25,12,"F",8500,75,9
25,12,"F",8150,76,9
25,12,"F",8500,77,9
25,12,"F",9000,78,9
25,12,"F",10000,79,9
25,12,"F",785,82,9
25,12,"F",879,84,9
25,12,"F",7900,85,9
25,12,"F",8582,86,9
25,12,"F",5583,87,9
25,12,"F",2790,88,9
25,12,"F",3779,89,9
25,12,"F",5500,90,9
26,12,"M",5991,68,10
26,12,"M",6200,69,10
26,12,"M",7132,70,10
26,12,"M",6970,71,10
26,12,"M",7057,72,10
26,12,"M",8700,73,10
26,12,"M",6261,74,10
26,12,"M",8401,75,10
26,12,"M",9400,76,10
26,12,"M",11525,77,10
26,12,"M",14952,78,10
26,12,"M",14000,79,10
26,12,"M",19135,80,10
26,12,"M",20000,81,10
26,12,"M",22000,82,10
26,12,"M",25000,83,10
26,12,"M",26000,84,10
26,12,"M",26000,85,10
26,12,"M",26000,86,10
26,12,"M",28000,87,10
26,12,"M",29000,88,10
26,12,"M",32000,89,10
26,12,"M",33000,90,10
37,16,"M",15000,69,11
37,16,"M",16000,70,11
37,16,"M",15750,71,11
37,16,"M",17000,72,11
37,16,"M",19000,73,11
37,16,"M",22000,74,11
37,16,"M",19920,75,11
37,16,"M",21600,76,11
37,16,"M",24400,77,11
37,16,"M",27250,78,11
37,16,"M",26800,79,11
37,16,"M",30720,80,11
37,16,"M",34700,81,11
37,16,"M",40000,82,11
37,16,"M",43500,83,11
37,16,"M",48000,84,11
37,16,"M",53300,85,11
37,16,"M",52200,86,11
37,16,"M",58200,87,11
37,16,"M",63500,88,11
37,16,"M",62000,89,11
37,16,"M",86200,90,11
31,14,"F",1351,70,12
31,14,"F",4590,71,12
31,14,"F",4000,72,12
31,14,"F",6000,73,12
31,14,"F",6000,74,12
31,14,"F",5300,75,12
31,14,"F",6075,76,12
31,14,"F",8100,77,12
31,14,"F",7200,78,12
31,14,"F",8300,79,12
31,14,"F",9000,80,12
31,14,"F",9900,81,12
31,14,"F",11896,82,12
31,14,"F",12070,83,12
31,14,"F",12800,84,12
31,14,"F",14200,85,12
31,14,"F",15852,86,12
31,14,"F",16800,87,12
39,12,"M",7065,68,13
39,12,"M",11000,69,13
39,12,"M",11500,70,13
39,12,"M",11750,71,13
39,12,"M",11750,72,13
39,12,"M",12700,73,13
39,12,"M",12800,74,13
39,12,"M",14000,75,13
39,12,"M",15250,76,13
39,12,"M",16000,77,13
39,12,"M",16500,78,13
39,12,"M",17500,79,13
39,12,"M",17012,80,13
39,12,"M",18000,81,13
39,12,"M",18348,82,13
39,12,"M",19900,83,13
39,12,"M",22300,84,13
39,12,"M",25620,85,13
39,12,"M",21800,86,13
39,12,"M",25000,87,13
39,12,"M",28000,88,13
39,12,"M",27800,89,13
39,12,"M",29000,90,13
35,8,"M",2300,68,14
35,8,"M",4000,69,14
35,8,"M",3146,70,14
35,8,"M",1500,71,14
35,8,"M",3800,72,14
35,8,"M",2738,73,14
35,8,"M",4000,74,14
35,8,"M",3232,75,14
35,8,"M",2743,76,14
35,8,"M",5250,77,14
35,8,"M",5950,78,14
35,8,"M",6000,79,14
35,8,"M",7600,80,14
35,8,"M",4000,81,14
35,8,"M",10156,82,14
35,8,"M",7750,83,14
35,8,"M",6300,84,14
35,8,"M",8500,85,14
35,8,"M",5000,86,14
35,8,"M",4000,87,14
35,8,"M",10000,88,14
35,8,"M",8193,89,14
35,10,"M",6000,68,15
35,10,"M",6970,69,15
35,10,"M",6800,70,15
35,10,"M",5500,71,15
35,10,"M",4900,72,15
35,10,"M",5600,73,15
35,10,"M",6500,74,15
35,10,"M",6000,75,15
35,10,"M",6000,76,15
35,10,"M",7000,77,15
35,10,"M",8500,78,15
35,10,"M",8500,79,15
35,10,"M",7000,80,15
35,10,"M",7000,81,15
35,10,"M",9000,82,15
35,10,"M",9800,83,15
35,10,"M",11500,84,15
35,10,"M",9600,85,15
35,10,"M",9500,86,15
35,10,"M",14000,87,15
35,10,"M",12500,88,15
35,10,"M",12500,89,15
35,10,"M",6400,90,15
37,13,"M",4530,68,16
37,13,"M",4300,69,16
37,13,"M",3960,70,16
37,13,"M",3860,71,16
37,13,"M",4660,72,16
37,13,"M",10423,73,16
37,13,"M",14800,74,16
37,13,"M",6815,75,16
37,13,"M",13000,76,16
37,13,"M",4510,77,16
37,13,"M",8150,78,16
37,13,"M",17875,79,16
37,13,"M",24700,80,16
37,13,"M",25018,81,16
37,13,"M",26050,82,16
37,13,"M",22145,83,16
37,13,"M",22200,84,16
37,13,"M",15200,85,16
37,13,"M",11100,86,16
37,13,"M",20000,87,16
37,13,"M",20000,88,16
37,13,"M",21060,89,16
37,13,"M",26026,90,16
38,9,"F",3500,68,17
38,9,"F",1000,69,17
38,9,"F",1998,70,17
38,9,"F",3060,71,17
38,9,"F",3573,72,17
38,9,"F",2500,73,17
38,9,"F",3590,76,17
38,9,"F",380,77,17
38,9,"F",4000,81,17
38,9,"F",7000,82,17
38,9,"F",6000,83,17
38,9,"F",6000,84,17
38,9,"F",6700,85,17
38,9,"F",5300,86,17
38,9,"F",12000,87,17
38,9,"F",14000,88,17
38,9,"F",12158,89,17
38,9,"F",12604,90,17
37,12,"F",1300,69,18
37,12,"F",900,70,18
37,12,"F",674,71,18
37,12,"F",397,72,18
37,12,"F",1700,73,18
37,12,"F",4640,74,18
37,12,"F",4200,75,18
37,12,"F",3600,76,18
37,12,"F",4000,77,18
37,12,"F",3000,78,18
37,12,"F",6000,79,18
37,12,"F",8300,80,18
37,12,"F",6000,81,18
37,12,"F",6000,82,18
37,12,"F",6000,83,18
34,12,"M",9600,68,19
34,12,"M",10037,69,19
34,12,"M",11520,70,19
34,12,"M",12700,71,19
34,12,"M",12700,72,19
34,12,"M",14329,73,19
34,12,"M",15737,74,19
34,12,"M",16000,75,19
34,12,"M",17500,76,19
34,12,"M",19000,77,19
34,12,"M",14000,78,19
34,12,"M",18730,79,19
34,12,"M",22030,80,19
34,12,"M",21000,81,19
34,12,"M",16000,82,19
34,12,"M",18100,83,19
34,12,"M",22000,84,19
34,12,"M",22000,85,19
34,12,"M",26000,86,19
34,12,"M",27000,87,19
34,12,"M",28100,88,19
34,12,"M",32000,89,19
34,12,"M",34000,90,19
38,12,"M",13000,69,20
38,12,"M",12000,70,20
38,12,"M",15000,71,20
38,12,"M",18000,72,20
38,12,"M",26000,73,20
38,12,"M",14650,74,20
38,12,"M",25800,75,20
38,12,"M",42500,76,20
38,12,"M",53535,77,20
38,12,"M",45000,78,20
38,12,"M",59300,79,20
38,12,"M",49960,80,20
38,12,"M",84400,81,20
38,12,"M",86000,82,20
38,12,"M",52000,83,20
38,12,"M",20000,84,20
38,12,"M",9405,85,20
38,12,"M",9000,86,20
38,12,"M",21659,87,20
38,12,"M",5000,90,20
36,15,"F",600,72,21
36,15,"F",4750,73,21
36,15,"F",6400,74,21
36,15,"F",7595,75,21
36,15,"F",7622,76,21
36,15,"F",12370,77,21
36,15,"F",12400,78,21
36,15,"F",12560,79,21
36,15,"F",31809,80,21
36,15,"F",15500,81,21
36,15,"F",13200,82,21
36,15,"F",7777,83,21
36,15,"F",18540,84,21
36,15,"F",19900,85,21
36,15,"F",19500,86,21
25,12,"F",1113,75,22
25,12,"F",5936,76,22
25,12,"F",2266,77,22
25,12,"F",3178,80,22
25,12,"F",14616,81,22
25,12,"F",6322,82,22
25,12,"F",3260,84,22
25,12,"F",4000,87,22
25,12,"F",6000,88,22
25,12,"F",11500,89,22
25,12,"F",11500,90,22
25,14,"F",800,68,23
25,14,"F",3400,70,23
25,14,"F",5000,71,23
25,14,"F",7500,72,23
25,14,"F",6000,73,23
25,14,"F",7000,74,23
25,14,"F",8300,75,23
25,14,"F",7500,76,23
25,14,"F",9000,77,23
25,14,"F",12000,78,23
25,14,"F",13400,79,23
25,14,"F",14800,80,23
25,14,"F",15000,81,23
25,14,"F",19000,82,23
25,14,"F",19100,83,23
25,14,"F",20000,84,23
25,14,"F",20000,85,23
25,14,"F",15000,86,23
25,14,"F",21084,87,23
25,14,"F",25000,88,23
25,14,"F",26130,89,23
25,14,"F",26000,90,23
26,16,"M",5600,68,24
26,16,"M",8532,69,24
26,16,"M",9000,70,24
26,16,"M",10500,71,24
26,16,"M",12825,72,24
26,16,"M",18050,73,24
26,16,"M",15700,74,24
26,16,"M",10000,75,24
26,16,"M",10800,76,24
26,16,"M",18050,77,24
26,16,"M",18090,78,24
26,16,"M",19200,79,24
26,16,"M",27500,80,24
26,16,"M",23500,81,24
26,16,"M",22750,82,24
26,16,"M",20000,83,24
26,16,"M",22000,84,24
26,16,"M",33500,85,24
26,16,"M",45000,86,24
26,16,"M",26000,87,24
