"germ","moisture","covered"
22,1,"no"
41,3,"no"
66,5,"no"
82,7,"no"
79,9,"no"
0,11,"no"
25,1,"no"
46,3,"no"
72,5,"no"
73,7,"no"
68,9,"no"
0,11,"no"
27,1,"no"
59,3,"no"
51,5,"no"
73,7,"no"
74,9,"no"
0,11,"no"
23,1,"no"
38,3,"no"
78,5,"no"
84,7,"no"
70,9,"no"
0,11,"no"
45,1,"yes"
65,3,"yes"
81,5,"yes"
55,7,"yes"
31,9,"yes"
0,11,"yes"
41,1,"yes"
80,3,"yes"
73,5,"yes"
51,7,"yes"
36,9,"yes"
0,11,"yes"
42,1,"yes"
79,3,"yes"
74,5,"yes"
40,7,"yes"
45,9,"yes"
0,11,"yes"
43,1,"yes"
77,3,"yes"
76,5,"yes"
62,7,"yes"
NA,9,"yes"
0,11,"yes"
