"y1","y2","y3","prebake","flux","speed","preheat","cooling","agitator","temp"
13,30,26,"1","1","1","1","1","1","1"
4,16,11,"1","1","1","2","2","2","2"
20,15,20,"1","1","2","1","1","2","2"
42,43,46,"1","1","2","2","2","1","1"
14,15,17,"1","2","1","1","2","1","2"
10,17,16,"1","2","1","2","1","2","1"
36,29,53,"1","2","2","1","2","2","1"
5,9,16,"1","2","2","2","1","1","2"
29,0,14,"2","1","1","1","2","2","1"
10,26,9,"2","1","1","2","1","1","2"
28,173,19,"2","1","2","1","2","1","2"
100,129,151,"2","1","2","2","1","2","1"
11,15,11,"2","2","1","1","1","2","2"
17,2,17,"2","2","1","2","2","1","1"
53,70,89,"2","2","2","1","1","1","1"
23,22,7,"2","2","2","2","2","2","2"
