"month","day.of.month","year","temp","day.of.year","time"
1,1,"1995",59.2,1,1
1,2,"1995",57.5,2,2
1,3,"1995",57.4,3,3
1,4,"1995",59.3,4,4
1,5,"1995",58.8,5,5
1,6,"1995",55.7,6,6
1,7,"1995",57.3,7,7
1,8,"1995",56.5,8,8
1,9,"1995",57.5,9,9
1,10,"1995",58.5,10,10
1,11,"1995",54.9,11,11
1,12,"1995",55.1,12,12
1,13,"1995",58.9,13,13
1,14,"1995",59.2,14,14
1,15,"1995",55.7,15,15
1,16,"1995",50.5,16,16
1,17,"1995",52.1,17,17
1,18,"1995",53.6,18,18
1,19,"1995",52.9,19,19
1,20,"1995",55.2,20,20
1,21,"1995",55.3,21,21
1,22,"1995",56.1,22,22
1,23,"1995",56.1,23,23
1,24,"1995",55.6,24,24
1,25,"1995",57.3,25,25
1,26,"1995",58.5,26,26
1,27,"1995",57.8,27,27
1,28,"1995",58.2,28,28
1,29,"1995",58.4,29,29
1,30,"1995",58.9,30,30
1,31,"1995",56.6,31,31
2,1,"1995",58.1,32,32
2,2,"1995",58.8,33,33
2,3,"1995",61.1,34,34
2,4,"1995",56.9,35,35
2,5,"1995",58.5,36,36
2,6,"1995",55.2,37,37
2,7,"1995",52.6,38,38
2,8,"1995",54.8,39,39
2,9,"1995",58.6,40,40
2,10,"1995",60.7,41,41
2,11,"1995",59.9,42,42
2,12,"1995",59.4,43,43
2,13,"1995",61.4,44,44
2,14,"1995",59.6,45,45
2,15,"1995",61.3,46,46
2,16,"1995",63.9,47,47
2,17,"1995",61,48,48
2,18,"1995",60.4,49,49
2,19,"1995",59.9,50,50
2,20,"1995",60,51,51
2,21,"1995",57.3,52,52
2,22,"1995",57.4,53,53
2,23,"1995",58.6,54,54
2,24,"1995",61,55,55
2,25,"1995",60.2,56,56
2,26,"1995",63.4,57,57
2,27,"1995",64,58,58
2,28,"1995",61.6,59,59
3,1,"1995",62.3,60,60
3,2,"1995",63.6,61,61
3,3,"1995",68.2,62,62
3,4,"1995",71.4,63,63
3,5,"1995",68.1,64,64
3,6,"1995",65.4,65,65
3,7,"1995",62.5,66,66
3,8,"1995",64.1,67,67
3,9,"1995",67.4,68,68
3,10,"1995",66,69,69
3,11,"1995",65.9,70,70
3,12,"1995",59.9,71,71
3,13,"1995",59.4,72,72
3,14,"1995",71.8,73,73
3,15,"1995",72.2,74,74
3,16,"1995",62.8,75,75
3,17,"1995",62.5,76,76
3,18,"1995",65.7,77,77
3,19,"1995",65,78,78
3,20,"1995",61,79,79
3,21,"1995",61.6,80,80
3,22,"1995",62.9,81,81
3,23,"1995",67.7,82,82
3,24,"1995",60.1,83,83
3,25,"1995",56.3,84,84
3,26,"1995",56.6,85,85
3,27,"1995",59.9,86,86
3,28,"1995",63.1,87,87
3,29,"1995",65.2,88,88
3,30,"1995",64,89,89
3,31,"1995",76.2,90,90
4,1,"1995",65,91,91
4,2,"1995",57.4,92,92
4,3,"1995",54.6,93,93
4,4,"1995",57.7,94,94
4,5,"1995",59.8,95,95
4,6,"1995",63.8,96,96
4,7,"1995",69.1,97,97
4,8,"1995",72.8,98,98
4,9,"1995",73.8,99,99
4,10,"1995",63.3,100,100
4,11,"1995",60.5,101,101
4,12,"1995",62.1,102,102
4,13,"1995",67,103,103
4,14,"1995",66.1,104,104
4,15,"1995",69.8,105,105
4,16,"1995",70,106,106
4,17,"1995",78.5,107,107
4,18,"1995",64.7,108,108
4,19,"1995",65.4,109,109
4,20,"1995",62.3,110,110
4,21,"1995",64.7,111,111
4,22,"1995",67.5,112,112
4,23,"1995",66.4,113,113
4,24,"1995",70.6,114,114
4,25,"1995",71.9,115,115
4,26,"1995",74.5,116,116
4,27,"1995",78.7,117,117
4,28,"1995",72.6,118,118
4,29,"1995",70.5,119,119
4,30,"1995",70.1,120,120
5,1,"1995",73.9,121,121
5,2,"1995",70.6,122,122
5,3,"1995",69,123,123
5,4,"1995",65.8,124,124
5,5,"1995",71.1,125,125
5,6,"1995",68.7,126,126
5,7,"1995",67.7,127,127
5,8,"1995",66.3,128,128
5,9,"1995",68.9,129,129
5,10,"1995",67.5,130,130
5,11,"1995",70.6,131,131
5,12,"1995",75.9,132,132
5,13,"1995",77.5,133,133
5,14,"1995",75.6,134,134
5,15,"1995",74.2,135,135
5,16,"1995",72.4,136,136
5,17,"1995",68.9,137,137
5,18,"1995",70.3,138,138
5,19,"1995",82.3,139,139
5,20,"1995",81.3,140,140
5,21,"1995",73.5,141,141
5,22,"1995",76.8,142,142
5,23,"1995",79.9,143,143
5,24,"1995",77.9,144,144
5,25,"1995",76.1,145,145
5,26,"1995",78.1,146,146
5,27,"1995",77.4,147,147
5,28,"1995",79.8,148,148
5,29,"1995",77.7,149,149
5,30,"1995",83.1,150,150
5,31,"1995",80.7,151,151
6,1,"1995",77.4,152,152
6,2,"1995",81.8,153,153
6,3,"1995",84.6,154,154
6,4,"1995",80.8,155,155
6,5,"1995",79.2,156,156
6,6,"1995",80.4,157,157
6,7,"1995",86.8,158,158
6,8,"1995",85.5,159,159
6,9,"1995",83.9,160,160
6,10,"1995",83.4,161,161
6,11,"1995",88.6,162,162
6,12,"1995",88.9,163,163
6,13,"1995",90,164,164
