"n.ipo","ir","dp","reg.t","t","month"
30,13.5,-5.277,32.97,1,1
26,19.6,-0.5,29.09,2,2
39,29.3,-0.985,42.06,3,3
40,7,-1.397,41.47,4,4
40,23.2,0.447,43.72,5,5
40,14.6,-1.448,37.38,6,6
45,14.4,-3.521,30.39,7,7
46,4.9,0.535,42.89,8,8
44,14.9,-4.446,42.5,9,9
65,3.6,-10.43,38.35,10,10
49,7.8,-5.886,19.02,11,11
43,5.6,-0.253,37.15,12,12
37,4.7,-3.217,61.19,13,1
52,11.9,-1.086,30.29,14,2
71,24.8,8.18,25.96,15,3
48,16.3,4.191,29.42,16,4
88,14.1,1.279,27.08,17,5
122,10.9,-1.084,25.02,18,6
95,8.8,-2.301,35.72,19,7
92,8.2,-5.898,25.39,20,8
67,16.8,-6.358,42.27,21,9
86,3.9,-13.06,26,22,10
90,6.7,-6.813,26.04,23,11
105,3.3,-6.18,24.58,24,12
38,15.3,-7.354,30.74,25,1
58,10.8,0.696,38.89,26,2
73,14.6,0.919,33.15,27,3
57,9.4,0.11,41.43,28,4
51,7.5,-0.983,42.78,29,5
80,9.7,-2.675,40.88,30,6
84,13.9,-5.442,39.06,31,7
63,9.2,-7.476,38.67,32,8
60,8.5,-3.333,63.87,33,9
38,4.9,-5.797,623.78,34,10
21,11.6,-8.172,32.12,35,11
7,4.2,-0.5,57.23,36,12
12,5.6,1.347,10.86,37,1
14,17.1,-4.901,26.5,38,2
19,4.7,-0.801,38.59,39,3
19,12.3,-2.605,36.9,40,4
24,8.6,-4.264,35.95,41,5
26,15.8,-0.999,45.81,42,6
24,7,-1.439,35.81,43,7
20,6.8,0.778,46.8,44,8
11,7.6,-15.291,33.47,45,9
25,14.9,-8.297,61.02,46,10
13,6.9,-10.102,67.9,47,11
20,6.7,-10.582,68.34,48,12
8,5.6,-9.449,31.84,49,1
13,17.1,-8.049,49.58,50,2
11,29.6,2.484,75.09,51,3
12,15.5,1.981,43.83,52,4
24,16.3,1.733,65.88,53,5
17,6.2,3.328,41.41,54,6
18,3.1,-1.313,33.6,55,7
15,31.9,3.2,72.45,56,8
13,14.3,2.253,54.27,57,9
17,13.7,7.102,53.59,58,10
31,8.5,-4.141,79.04,59,11
25,2.6,-8.4,58.97,60,12
12,18.1,-4.817,53.64,61,1
13,17.9,5.251,48.21,62,2
19,20.3,-1.829,51.33,63,3
22,8.5,0.693,43.57,64,4
19,26.2,-13.541,51.01,65,5
22,21,17.864,69.1,66,6
24,7,7.33,319.51,67,7
15,4.4,-8.933,157.63,68,8
7,25.4,-80.604,214.16,69,9
4,0.4,-33.514,161.16,70,10
5,3.4,0,170.78,71,11
10,9.9,12.929,43.4,72,12
4,45.4,-5.474,18,73,1
7,29.8,5.631,64.27,74,2
18,23.1,0.126,44.39,75,3
28,11.4,10.15,45.6,76,4
28,15.7,-10.465,70.12,77,5
47,8.5,-15.742,58.42,78,6
38,9.3,-7.892,86.18,79,7
35,15.2,-0.669,74.14,80,8
23,15,12.044,58.5,81,9
46,12.9,5.891,78.88,82,10
51,14.8,3.224,67.76,83,11
42,14.4,4.702,54.06,84,12
42,21.3,9.457,63.06,85,1
46,22.4,5.093,61.65,86,2
67,15.4,3.83,105.91,87,3
45,4.5,-9.824,115.22,88,4
48,4.6,-21.002,100.92,89,5
44,3.8,-13.291,91.04,90,6
34,6.1,-36.276,103.97,91,7
36,6.5,-14.96,95.1,92,8
22,12.5,2.906,60.02,93,9
51,11.9,-14.704,58.56,94,10
