"id.num","order","days","log.size","ozone"
1,1,152,4.51,1
1,2,174,4.98,1
1,3,201,5.41,1
1,4,227,5.9,1
1,5,258,6.15,1
1,6,469,6.16,1
1,7,528,6.18,1
1,8,556,6.48,1
1,9,579,6.65,1
1,10,613,6.87,1
1,11,639,6.95,1
1,12,674,6.99,1
1,13,674,7.04,1
2,1,152,4.24,1
2,2,174,4.2,1
2,3,201,4.68,1
2,4,227,4.92,1
2,5,258,4.96,1
2,6,469,5.2,1
2,7,528,5.22,1
2,8,556,5.39,1
2,9,579,5.65,1
2,10,613,5.71,1
2,11,639,5.78,1
2,12,674,5.82,1
2,13,674,5.85,1
3,1,152,3.98,1
3,2,174,4.36,1
3,3,201,4.79,1
3,4,227,4.99,1
3,5,258,5.03,1
3,6,469,5.87,1
3,7,528,5.88,1
3,8,556,6.04,1
3,9,579,6.34,1
3,10,613,6.49,1
3,11,639,6.58,1
3,12,674,6.65,1
3,13,674,6.61,1
4,1,152,4.36,1
4,2,174,4.77,1
4,3,201,5.1,1
4,4,227,5.3,1
4,5,258,5.36,1
4,6,469,5.53,1
4,7,528,5.56,1
4,8,556,5.68,1
4,9,579,5.93,1
4,10,613,6.21,1
4,11,639,6.26,1
4,12,674,6.2,1
4,13,674,6.19,1
5,1,152,4.34,1
5,2,174,4.95,1
5,3,201,5.42,1
5,4,227,5.97,1
5,5,258,6.28,1
5,6,469,6.5,1
5,7,528,6.5,1
5,8,556,6.79,1
5,9,579,6.83,1
5,10,613,7.1,1
5,11,639,7.17,1
5,12,674,7.21,1
5,13,674,7.16,1
6,1,152,4.59,1
6,2,174,5.08,1
6,3,201,5.36,1
6,4,227,5.76,1
6,5,258,6,1
6,6,469,6.33,1
6,7,528,6.34,1
6,8,556,6.39,1
6,9,579,6.78,1
6,10,613,6.91,1
6,11,639,6.99,1
6,12,674,7.01,1
6,13,674,7.05,1
7,1,152,4.41,1
7,2,174,4.56,1
7,3,201,4.95,1
7,4,227,5.23,1
7,5,258,5.33,1
7,6,469,6.13,1
7,7,528,6.14,1
7,8,556,6.36,1
7,9,579,6.57,1
7,10,613,6.78,1
7,11,639,6.82,1
7,12,674,6.81,1
7,13,674,6.86,1
8,1,152,4.24,1
8,2,174,4.64,1
8,3,201,4.95,1
8,4,227,5.38,1
8,5,258,5.48,1
8,6,469,5.61,1
8,7,528,5.63,1
8,8,556,5.82,1
8,9,579,6.18,1
8,10,613,6.42,1
8,11,639,6.48,1
8,12,674,6.47,1
8,13,674,6.46,1
9,1,152,4.82,1
9,2,174,5.17,1
9,3,201,5.76,1
9,4,227,6.12,1
9,5,258,6.24,1
9,6,469,6.48,1
9,7,528,6.5,1
9,8,556,6.77,1
9,9,579,7.14,1
9,10,613,7.26,1
9,11,639,7.3,1
9,12,674,6.91,1
9,13,674,7.28,1
10,1,152,3.84,1
10,2,174,4.17,1
10,3,201,4.67,1
10,4,227,4.67,1
10,5,258,4.8,1
10,6,469,4.94,1
10,7,528,4.94,1
10,8,556,5.05,1
10,9,579,5.33,1
10,10,613,5.53,1
10,11,639,5.56,1
10,12,674,5.57,1
10,13,674,5.6,1
11,1,152,4.07,1
11,2,174,4.31,1
11,3,201,4.9,1
11,4,227,5.1,1
11,5,258,5.1,1
11,6,469,5.26,1
11,7,528,5.26,1
11,8,556,5.38,1
11,9,579,5.66,1
11,10,613,5.81,1
11,11,639,5.84,1
11,12,674,5.93,1
11,13,674,5.89,1
12,1,152,4.28,1
12,2,174,4.8,1
12,3,201,5.27,1
12,4,227,5.55,1
12,5,258,5.65,1
12,6,469,5.76,1
12,7,528,5.77,1
12,8,556,5.98,1
12,9,579,6.18,1
12,10,613,6.39,1
12,11,639,6.43,1
12,12,674,6.44,1
12,13,674,6.41,1
13,1,152,4.47,1
13,2,174,4.89,1
13,3,201,5.23,1
13,4,227,5.55,1
13,5,258,5.74,1
13,6,469,5.99,1
13,7,528,6.01,1
13,8,556,6.08,1
13,9,579,6.39,1
13,10,613,6.45,1
13,11,639,6.57,1
13,12,674,6.57,1
13,13,674,6.58,1
14,1,152,4.46,1
14,2,174,4.84,1
14,3,201,5.11,1
14,4,227,5.34,1
14,5,258,5.46,1
14,6,469,5.47,1
14,7,528,5.49,1
14,8,556,5.7,1
14,9,579,5.93,1
14,10,613,6.06,1
14,11,639,6.15,1
14,12,674,6.12,1
14,13,674,6.12,1
15,1,152,3.6,1
15,2,174,4.08,1
15,3,201,4.17,1
15,4,227,4.35,1
15,5,258,4.59,1
15,6,469,4.65,1
15,7,528,4.69,1
15,8,556,5.01,1
15,9,579,5.21,1
15,10,613,5.38,1
15,11,639,5.58,1
15,12,674,5.46,1
15,13,674,5.5,1
16,1,152,3.73,1
16,2,174,4.15,1
16,3,201,4.61,1
16,4,227,4.87,1
16,5,258,4.93,1
16,6,469,5.24,1
16,7,528,5.25,1
16,8,556,5.25,1
16,9,579,5.45,1
16,10,613,5.65,1
16,11,639,5.65,1
16,12,674,5.76,1
16,13,674,5.83,1
17,1,152,4.67,1
17,2,174,4.88,1
17,3,201,5.18,1
17,4,227,5.34,1
17,5,258,5.49,1
17,6,469,6.44,1
17,7,528,6.44,1
17,8,556,6.61,1
17,9,579,6.74,1
17,10,613,7.06,1
17,11,639,7.11,1
17,12,674,7.04,1
17,13,674,7.11,1
18,1,152,2.96,1
18,2,174,3.47,1
18,3,201,3.76,1
18,4,227,3.89,1
18,5,258,4.3,1
18,6,469,4.15,1
18,7,528,4.15,1
18,8,556,4.41,1
18,9,579,4.72,1
18,10,613,4.76,1
18,11,639,4.93,1
18,12,674,4.98,1
18,13,674,5.07,1
19,1,152,3.24,1
19,2,174,3.93,1
19,3,201,4.76,1
19,4,227,4.62,1
19,5,258,4.64,1
19,6,469,4.63,1
19,7,528,4.64,1
19,8,556,4.77,1
19,9,579,5.08,1
19,10,613,5.27,1
19,11,639,5.3,1
19,12,674,5.43,1
19,13,674,5.2,1
20,1,152,4.36,1
20,2,174,4.77,1
20,3,201,5.02,1
20,4,227,5.26,1
20,5,258,5.45,1
20,6,469,5.44,1
20,7,528,5.44,1
20,8,556,5.49,1
20,9,579,5.73,1
20,10,613,5.77,1
20,11,639,6.01,1
20,12,674,5.96,1
20,13,674,5.96,1
21,1,152,4.04,1
21,2,174,4.64,1
21,3,201,4.86,1
21,4,227,5.09,1
21,5,258,5.25,1
21,6,469,5.25,1
21,7,528,5.27,1
21,8,556,5.5,1
21,9,579,5.65,1
21,10,613,5.69,1
21,11,639,5.97,1
21,12,674,5.97,1
21,13,674,5.89,1
22,1,152,3.53,1
22,2,174,4.25,1
22,3,201,4.68,1
22,4,227,4.97,1
22,5,258,5.18,1
22,6,469,5.64,1
22,7,528,5.64,1
22,8,556,5.53,1
22,9,579,5.74,1
22,10,613,5.78,1
22,11,639,5.94,1
22,12,674,6.18,1
22,13,674,5.99,1
23,1,152,4.22,1
23,2,174,4.69,1
23,3,201,5.07,1
23,4,227,5.37,1
23,5,258,5.58,1
23,6,469,5.76,1
23,7,528,5.8,1
23,8,556,6.11,1
23,9,579,6.37,1
23,10,613,6.35,1
23,11,639,6.58,1
23,12,674,6.55,1
23,13,674,6.55,1
24,1,152,2.79,1
24,2,174,3.1,1
24,3,201,3.3,1
24,4,227,3.38,1
24,5,258,3.55,1
24,6,469,3.61,1
24,7,528,3.65,1
24,8,556,3.93,1
24,9,579,4.18,1
24,10,613,4.13,1
24,11,639,4.36,1
24,12,674,4.43,1
24,13,674,4.39,1
25,1,152,3.3,1
25,2,174,3.9,1
25,3,201,4.34,1
25,4,227,4.96,1
25,5,258,5.4,1
25,6,469,5.46,1
25,7,528,5.49,1
25,8,556,5.77,1
25,9,579,6.03,1
25,10,613,6.07,1
25,11,639,6.2,1
25,12,674,6.26,1
25,13,674,6.28,1
26,1,152,3.34,1
26,2,174,3.81,1
26,3,201,4.21,1
26,4,227,4.54,1
26,5,258,4.86,1
26,6,469,4.93,1
26,7,528,4.96,1
26,8,556,5.15,1
26,9,579,5.48,1
26,10,613,5.49,1
26,11,639,5.7,1
26,12,674,5.74,1
26,13,674,5.74,1
27,1,152,3.76,1
27,2,174,4.36,1
27,3,201,4.7,1
27,4,227,5.44,1
27,5,258,5.32,1
27,6,469,5.65,1
27,7,528,5.67,1
27,8,556,5.63,1
27,9,579,6.04,1
27,10,613,6.02,1
27,11,639,6.05,1
27,12,674,6.03,1
27,13,674,5.91,1
28,1,152,4.49,1
28,2,174,4.76,1
28,3,201,5.15,1
28,4,227,5.37,1
28,5,258,5.56,1
28,6,469,5.73,1
28,7,528,5.73,1
28,8,556,5.8,1
28,9,579,5.97,1
28,10,613,6.1,1
28,11,639,6.16,1
28,12,674,6.22,1
28,13,674,6.13,1
