"la","lo","t","eggs","stage","a.0","a.1"
50.055,-5.87,49.5,0,1,0,2.4
50.09,-6.146,49.5,0,1,0,2.4
50.123,-6.39,49.5,0,1,0,2.4
50.178,-6.15,49.5,0,1,0,2.4
50.188,-5.902,49.5,0,1,0,2.4
50.191,-5.662,49.5,0,1,0,2.4
50.261,-5.479,49.5,0,1,0,2.4
50.365,-5.231,49.5,0.147,1,0,2.4
50.317,-5.368,49.5,0.524,1,0,2.4
50.316,-5.619,49.5,0,1,0,2.4
50.314,-5.857,49.5,0,1,0,2.4
50.318,-6.105,49.5,0,1,0,2.4
50.314,-6.367,49.5,0,1,0,2.4
50.37,-6.597,49.5,0,1,0,2.4
50.428,-6.401,49.5,0,1,0,2.4
50.433,-6.141,49.5,0,1,0,2.4
50.434,-5.892,49.5,0,1,0,2.4
50.433,-5.645,49.5,0.471,1,0,2.4
50.435,-5.392,49.5,0.183,1,0,2.4
50.442,-5.161,49.5,0,1,0,2.4
50.568,-5.123,49.5,0,1,0,2.4
50.567,-5.359,49.5,0,1,0,2.4
50.568,-5.606,49.5,0,1,0,2.4
50.565,-5.849,49.5,0,1,0,2.4
50.619,-6.1,49.5,0,1,0,2.4
50.626,-6.351,49.5,0,1,0,2.4
50.617,-6.623,49.5,0,1,0,2.4
50.873,-6.648,49.5,0,1,0,2.4
50.878,-6.398,49.5,0,1,0,2.4
50.874,-6.135,49.5,0,1,0,2.4
50.872,-5.901,49.5,0,1,0,2.4
50.681,-5.878,49.5,0.214,1,0,2.4
50.686,-5.64,49.5,0.714,1,0,2.4
50.811,-5.622,49.5,0,1,0,2.4
50.924,-5.628,49.5,0,1,0,2.4
50.936,-5.398,49.5,0,1,0,2.4
50.814,-5.393,49.5,0.164,1,0,2.4
50.679,-5.396,49.5,0.167,1,0,2.4
50.678,-5.142,49.5,0.913,1,0,2.4
50.801,-5.157,49.5,0,1,0,2.4
50.928,-5.144,49.5,0,1,0,2.4
50.93,-4.891,49.5,0.41,1,0,2.4
50.808,-4.876,49.5,0.346,1,0,2.4
50.676,-4.89,49.5,0.55,1,0,2.4
50.612,-4.882,49.5,0,1,0,2.4
50.713,-4.703,49.5,0,1,0,2.4
50.811,-4.629,49.5,0.183,1,0,2.4
50.923,-4.63,49.5,0,1,0,2.4
51.123,-4.382,49.5,0,1,0,2.4
51.125,-4.637,49.5,0,1,0,2.4
51.173,-4.891,49.5,0,1,0,2.4
51.062,-4.894,49.5,0,1,0,2.4
51.061,-5.132,49.5,0,1,0,2.4
51.175,-5.139,49.5,0,1,0,2.4
51.118,-5.398,49.5,0,1,0,2.4
51.119,-5.647,49.5,0,1,0,2.4
51.116,-5.885,49.5,0,1,0,2.4
51.114,-6.151,49.5,0,1,0,2.4
51.114,-6.403,49.5,0,1,0,2.4
51.117,-6.646,49.5,0,1,0,2.4
50.055,-5.87,49.5,0,2,2.4,3.4
50.09,-6.146,49.5,0,2,2.4,3.4
50.123,-6.39,49.5,0,2,2.4,3.4
