"s","d","studage","lectage","service","dept","y"
"2125","945","8","6","1","4",5
"1678","19","4","4","1","15",2
"1482","1207","8","2","0","9",3
"2706","1564","8","3","0","2",2
"223","96","4","3","1","11",2
"2080","1254","8","3","0","4",3
"2416","304","4","3","0","6",5
"1207","246","8","2","0","4",3
"2069","1612","2","1","1","6",5
"1522","45","6","6","0","5",2
"695","1279","6","4","1","2",1
"2932","1596","8","5","0","10",3
"2107","397","2","1","0","6",2
"2416","980","4","2","0","6",1
"728","1422","6","2","0","4",3
"148","1880","6","6","1","6",1
"248","899","8","6","0","5",4
"803","1816","2","2","0","12",3
"1442","2112","2","3","0","6",1
"220","401","2","1","1","4",2
"2564","377","2","2","0","10",3
"1740","42","6","5","1","11",4
"2693","690","8","4","0","7",3
"2210","117","6","2","0","5",2
"2443","117","8","4","0","5",5
"654","1898","6","2","1","15",3
"1803","1554","4","3","0","4",3
"905","297","6","5","1","9",3
"1067","2116","8","5","0","9",3
"192","12","8","3","1","14",5
"377","474","8","4","1","1",4
"1855","296","8","1","0","11",4
"502","805","4","1","0","9",4
"1149","622","6","2","1","11",1
"1323","1027","6","4","0","4",4
"1437","17","8","6","1","2",5
"265","540","4","4","0","4",1
"1436","404","8","2","0","15",1
"2275","375","4","5","1","1",3
"304","1919","2","1","1","3",5
"680","932","2","2","0","12",3
"252","1797","4","6","0","14",4
"2772","702","4","2","1","6",4
"2329","1666","8","6","0","14",4
"456","1784","4","3","1","9",4
"262","883","4","2","1","4",4
"2379","717","6","1","0","15",5
"1410","1323","8","6","1","2",3
"814","897","6","1","0","15",2
"2923","84","6","3","0","10",2
"300","881","8","5","1","9",4
"860","82","2","2","1","9",5
"2245","696","6","3","1","9",2
"1486","827","6","4","1","12",3
"728","307","6","6","1","2",5
"1033","117","8","4","0","5",3
"1808","92","6","6","0","6",1
"84","897","6","2","0","15",4
"1272","925","6","2","0","15",5
"521","1036","2","2","1","7",2
"1590","1548","2","2","0","1",4
"1895","1275","4","4","1","11",4
"2883","390","8","1","0","7",3
"1112","1316","6","2","1","14",2
"1640","61","8","6","0","14",3
"829","2100","4","2","0","9",2
"167","1992","6","3","1","12",3
"1639","1780","2","1","1","11",3
"2519","1035","8","1","0","4",5
"1643","1755","4","1","1","11",3
"1779","1038","6","3","0","12",2
"938","1244","4","3","0","3",4
"2870","1739","8","4","0","3",1
"688","1382","4","2","1","3",3
"37","827","6","6","0","12",5
"1048","2147","8","6","1","14",1
"1806","436","4","3","0","12",2
"1601","297","2","2","1","9",2
"2212","1845","8","6","1","11",3
"1915","1135","6","2","0","9",5
"1672","945","6","6","1","4",2
"1450","375","4","5","1","1",3
"2616","1755","6","3","1","11",1
"2816","2086","2","2","1","12",3
"2497","1196","6","2","0","14",4
"2135","432","2","1","0","3",2
"705","34","6","3","1","14",3
"1444","583","2","2","1","11",3
"2163","1701","4","2","1","2",3
"2453","624","6","2","1","9",2
"2810","829","8","2","1","1",5
"2949","1984","6","3","0","10",3
"1331","1736","8","6","1","12",3
"129","2084","6","6","0","10",3
"2322","296","2","1","1","11",5
"2350","1610","6","5","1","9",4
"993","1123","6","1","0","8",5
"2566","115","6","1","0","5",3
"254","432","4","3","0","3",1
"2163","297","4","4","1","9",1
"273","1087","6","1","1","1",4
"750","1324","8","3","1","9",1
"2927","1892","8","3","0","12",5
"2437","603","4","4","1","8",2
"723","1736","2","2","1","12",3
"2802","1817","6","1","0","11",1
"960","1771","8","6","0","6",2
"1868","34","4","1","1","14",3
"1066","1354","6","3","0","9",4
"879","528","6","1","0","6",2
"2254","678","4","1","0","10",4
"588","1086","6","6","1","6",2
"2384","1424","2","2","0","1",4
"2138","304","8","4","0","6",1
"1456","1059","2","2","0","6",4
"761","1361","8","1","0","2",5
"1515","1578","2","2","0","12",3
"2045","866","6","4","1","2",5
"1656","1127","4","1","0","14",1
"1410","246","8","2","0","4",2
"1556","827","8","5","1","12",2
"846","309","8","3","0","10",5
"1451","1284","2","2","1","4",4
"408","377","8","2","0","10",2
"195","1920","6","6","1","10",4
"1000","1172","2","1","0","10",2
